msg_type,processing_time_ns,buff_read_ns
l2update,16319,51664318
l2update,16311,14910732
l2update,16124,2186721
l2update,16389,4059601
l2update,16259,4986875
l2update,5482,1155
l2update,16159,8792033
l2update,16289,8580062
l2update,5655,1201
l2update,16131,17976277
l2update,16192,2102092
l2update,16600,23354360
l2update,16201,10413553
l2update,16883,38946933
l2update,16271,3142638
l2update,16229,3426379
l2update,16156,6318533
l2update,16284,12527730
l2update,31143,42936850
l2update,20158,22010619
l2update,19772,10616562
l2update,16457,6386027
l2update,16269,29161076
l2update,5685,983
l2update,4242,601
l2update,3966,564
l2update,3824,576
l2update,16319,3105354
l2update,16184,7750608
l2update,20298,17232394
l2update,16127,18476645
l2update,6487,5515
l2update,16364,90513138
l2update,5254,1015
l2update,4565,524
l2update,3944,536
l2update,4019,436
l2update,53992,471
l2update,5572,990
l2update,4454,637
l2update,4241,512
l2update,4007,554
l2update,3931,532
l2update,3959,657
l2update,16302,5267103
l2update,16339,9801189
l2update,5620,1190
l2update,16108,8331375
l2update,5895,1233
l2update,16312,1072030
l2update,5483,1215
l2update,15991,5734493
l2update,5420,1185
l2update,16033,34571267
l2update,16102,2340026
l2update,16302,8301178
l2update,19628,11145543
l2update,9081,1741
l2update,9236,10130
l2update,16287,2942032
l2update,16091,5382052
l2update,16267,2140840
l2update,16249,5399067
l2update,9288,1483
l2update,16369,5400343
l2update,6284,5405
l2update,5414,4405
l2update,16264,5308643
l2update,5951,5377
l2update,16216,5386557
l2update,6134,5573
l2update,16447,3165782
l2update,16542,3568366
l2update,16131,3164311
l2update,16144,1083400
l2update,16355,4304236
l2update,16142,4414253
l2update,16159,7695330
l2update,6153,5573
l2update,16166,10575219
l2update,5372,1175
l2update,16154,3136478
l2update,16330,6694540
l2update,16221,4413235
l2update,16036,7266579
l2update,20140,2649800
l2update,16226,7545902
l2update,5500,1058
l2update,4385,699
l2update,16076,11826442
l2update,20291,9466703
l2update,16592,55369945
l2update,16230,6325630
l2update,5186,1253
l2update,19501,4231242
l2update,16201,11765026
l2update,5227,1192
l2update,16227,21296156
l2update,16252,6858567
l2update,16138,5021102
l2update,19739,3163918
l2update,16087,3131589
l2update,5300,1125
l2update,16124,13736223
l2update,16361,5354826
l2update,16109,9585309
l2update,15983,1048128
l2update,16467,3203818
l2update,16309,19201281
l2update,5475,1210
l2update,5252,5407
l2update,16114,14887013
l2update,16266,9550834
l2update,16194,7417339
l2update,16397,22580048
l2update,17760,63434656
l2update,16286,4898769
l2update,6093,5425
l2update,16315,1166152
l2update,16307,6014926
l2update,16141,2074727
l2update,16189,26040716
l2update,16251,4975298
l2update,5578,1225
l2update,5428,5490
l2update,16257,16138766
l2update,16129,2932224
l2update,5464,1241
l2update,19717,1099166
l2update,15928,21489965
l2update,16229,13231352
l2update,16359,8471665
l2update,15994,11925509
l2update,16359,4252560
l2update,16236,8546967
l2update,16206,1089625
l2update,16084,13557432
l2update,5355,1172
l2update,20524,22116913
l2update,16710,22235423
l2update,5701,1142
l2update,20469,13941544
l2update,9942,9674
l2update,16163,7718939
l2update,5192,1177
l2update,5202,5670
l2update,4230,689
l2update,20468,2895977
l2update,16402,4318576
l2update,6166,5558
l2update,16149,17081705
l2update,16199,2145911
l2update,16137,11801455
l2update,24152,61180053
l2update,16828,8462938
l2update,16336,14823567
l2update,16387,6877370
l2update,16161,10418356
l2update,16451,1335932
l2update,15988,11919845
l2update,16074,11371361
l2update,16219,10867447
l2update,16447,133634100
l2update,16271,8572457
l2update,16355,45967610
l2update,5795,1115
l2update,16193,10666534
l2update,16425,16074407
l2update,16384,26453445
l2update,16294,46826242
l2update,16339,4492631
l2update,16129,2567639
l2update,16397,14350971
l2update,16003,36100766
l2update,16092,25400259
l2update,16434,10659749
l2update,16226,17015200
l2update,16086,3304983
l2update,16074,2301822
l2update,19799,8804184
l2update,16249,11234959
l2update,16289,5731761
l2update,16219,6264034
l2update,16354,1069031
l2update,16241,7357119
l2update,16362,5372049
l2update,5214,1175
l2update,16224,10380481
l2update,16407,8546495
l2update,16489,8434970
l2update,5961,5478
l2update,16239,12084283
l2update,16287,9426089
l2update,16220,8791678
l2update,30324,5228679
l2update,16088,2126621
l2update,5545,1265
l2update,16317,3651001
l2update,16231,5726791
l2update,16253,2110565
l2update,16262,1086613
l2update,5645,1223
l2update,16339,2119245
l2update,19920,21210816
l2update,8429,1679
l2update,16419,8563755
l2update,16194,5359767
l2update,5274,1063
l2update,4515,761
l2update,16142,4622066
l2update,6514,5603
l2update,16231,586473
