msg_type,processing_time_ns,buff_read_ns
l2update,10864,1744
match,16291,1966
l2update,11167,1683
match,16194,1970
l2update,10693,1630
match,15904,1939
l2update,11384,1733
match,16589,4136
l2update,11308,1747
match,16233,1886
l2update,11153,1642
match,16393,2039
l2update,10643,1666
match,16431,2008
l2update,10645,1677
match,16793,4360
l2update,10685,1726
match,16225,1998
l2update,10722,1665
match,15955,1976
l2update,10783,1670
match,15799,1973
l2update,11407,4045
match,15641,1995
l2update,10679,1695
match,15820,2021
l2update,10804,1669
match,15639,2029
l2update,10946,1701
match,16045,2001
l2update,11348,3909
match,16043,2047
l2update,11156,1679
match,15815,2007
l2update,11109,1690
match,15601,1978
l2update,10661,1638
match,16858,4331
l2update,11048,1763
match,15950,1933
l2update,10560,1708
match,15721,1976
l2update,10892,1675
match,16059,2009
l2update,10593,1675
match,17515,4283
l2update,11264,1658
match,15633,1983
l2update,10450,1710
match,16106,1995
l2update,10508,1699
match,15859,1971
l2update,10735,1711
match,16668,4261
l2update,11211,1757
match,24712,1967
l2update,10915,2309
match,16430,2124
l2update,10813,1684
match,15632,2053
l2update,10734,1751
match,16511,4859
l2update,10867,1767
match,17063,2030
l2update,10791,1663
match,16097,2042
l2update,10953,1838
match,16341,2017
l2update,11357,4215
match,16127,2147
l2update,10621,1728
match,17044,2042
l2update,11046,1659
match,15679,1947
l2update,10964,1731
match,16238,4305
l2update,10872,1741
match,16336,1972
l2update,11100,1714
match,16196,1997
l2update,10615,1763
match,15664,2003
l2update,10619,1625
match,16684,4348
l2update,11268,1794
match,16075,1991
l2update,10608,1757
match,16338,1971
l2update,11100,1730
match,16219,2012
l2update,11242,1707
match,16447,4211
l2update,10747,1769
match,16495,2058
l2update,10760,1663
match,16270,2023
l2update,10677,1677
match,16183,1993
l2update,10675,1702
match,16686,4359
l2update,10802,1712
match,16225,2027
l2update,10660,1656
match,15885,1961
l2update,10677,1721
match,16145,2019
l2update,11090,3920
match,15797,2067
l2update,10737,1695
match,15653,2040
l2update,10657,1752
match,16974,2004
l2update,10606,1672
match,16470,4224
l2update,11148,1755
match,15726,2002
l2update,11222,1753
match,15892,1972
l2update,11086,1685
match,15904,2015
l2update,10664,1708
match,16608,4221
l2update,11261,1758
match,16218,2016
l2update,10747,1714
match,16440,2098
l2update,11299,1687
match,16272,1925
l2update,10833,1724
match,16252,4363
l2update,10852,1760
match,16350,2034
l2update,10866,1682
match,16302,1932
l2update,10758,1676
match,16206,1972
l2update,10728,1710
match,16454,4349
l2update,10670,1786
match,15947,2038
l2update,10682,1682
match,16136,2033
l2update,10693,1672
match,16323,2027
l2update,13433,24282
match,16535,2292
l2update,11458,1719
match,16527,1946
l2update,10633,1669
match,15581,2056
l2update,11049,1743
match,16554,2182
l2update,11490,4173
match,15931,2024
l2update,11114,1699
match,15751,1981
l2update,11108,1711
match,16243,1978
l2update,10615,1718
match,16447,4288
l2update,10659,1769
match,16168,2051
l2update,10686,1718
match,16536,2067
l2update,10632,1632
match,16355,2050
l2update,10585,1669
match,17028,4276
l2update,10915,1745
match,15820,2061
l2update,10708,1647
match,16251,2043
l2update,11066,1708
match,15679,1999
l2update,10573,1693
match,16201,4268
l2update,11104,1762
match,15903,1955
l2update,10634,1678
match,16288,2003
l2update,11426,1717
match,16598,1921
l2update,11207,3930
match,15830,2054
l2update,10691,1723
match,16272,2007
l2update,10778,1690
match,15992,1933
l2update,10883,1633
match,15895,1954
l2update,11079,3910
match,15769,2101
l2update,10978,1646
match,16601,1925
l2update,10614,1679
match,16112,1991
l2update,10909,1702
match,16506,4235
l2update,11120,1768
match,16455,1966
l2update,18201,3987
match,17788,2498
l2update,11394,1788
match,16530,2057
l2update,10592,1756
match,17036,5119
l2update,10723,1792
match,16092,2033
l2update,11022,1726
match,17048,2021
l2update,10786,1667
match,16111,2056
l2update,10580,2720
match,16657,4269
l2update,11117,1757
match,16328,2038
l2update,10788,1656
match,16461,1985
l2update,11133,1713
match,16920,1968
l2update,11065,1708
match,16476,4367
l2update,10706,1723
match,16052,2042
l2update,10593,1734
match,16182,2062
l2update,10839,1650
match,15650,2020
l2update,11295,3950
match,16013,2005
l2update,10789,1650
match,16372,2028
l2update,10738,1627
match,16938,2030
l2update,10790,1657
match,16555,4245
l2update,11159,1726
match,16424,2180
l2update,10738,1776
match,15662,1993
l2update,11382,1754
match,16313,1921
l2update,10706,1630
match,16485,4368
l2update,10853,1670
match,16389,2011
l2update,10671,1725
match,16480,2015
l2update,10723,1671
match,16206,2016
l2update,10639,1667
match,16482,4214
l2update,11207,1722
match,16165,2023
l2update,10761,1685
match,16292,1904
l2update,11098,1664
match,16390,1865
l2update,10647,1700
match,16569,4337
l2update,10658,1728
match,16070,1967
l2update,10712,1675
match,16106,1948
l2update,10615,1652
match,16145,2001
l2update,11758,3864
match,16293,1929
l2update,10828,1740
match,15628,2012
l2update,10810,1682
match,16249,1882
l2update,10698,1713
match,15595,1934
l2update,11338,3996
match,16324,2056
l2update,10669,1718
match,16192,2020
l2update,10718,1719
match,16033,2018
l2update,10751,1715
match,16333,4272
l2update,10674,1764
match,16292,2009
l2update,10638,1661
match,15864,2040
l2update,11223,1666
match,16048,1969
l2update,11176,1740
match,16613,4132
l2update,10744,1715
match,16262,2027
l2update,67421,1645
match,16519,2633
l2update,10301,1705
match,16134,1972
l2update,11080,1738
match,16306,4656
l2update,11046,1717
match,15658,1967
l2update,11286,1673
match,15824,1879
l2update,10925,1692
match,15373,1949
l2update,12967,15691
match,16480,2113
l2update,10492,1675
match,15865,1981
l2update,10900,1647
match,15546,1873
l2update,10691,1676
match,15740,1933
l2update,10982,4185
match,15809,2011
l2update,10976,1602
match,16046,1854
l2update,10441,1594
match,26336,1936
l2update,10778,1808
match,18765,4371
l2update,22607,3033
match,19699,4950
l2update,20426,5393
match,26705,3705
l2update,20026,3380
match,17628,2791
l2update,11013,1799
match,17050,5547
l2update,10957,1774
match,16457,2022
l2update,10766,1672
match,16282,2046
l2update,10743,1676
match,16137,1988
l2update,10698,1608
match,16620,4393
l2update,10890,1684
match,16291,2031
l2update,10894,1723
match,15654,1977
l2update,11350,1692
match,16271,2014
l2update,10807,1681
match,16551,4378
l2update,10770,1664
match,15725,2037
l2update,11164,1685
match,15938,2084
l2update,11011,1698
match,15788,1964
l2update,10996,3895
match,15640,2019
l2update,11177,1745
match,15916,1990
l2update,10825,1716
match,15709,1996
l2update,10690,1711
match,16409,4202
l2update,10719,1770
match,16360,2083
l2update,10606,1632
match,15854,1895
l2update,10757,1660
match,17146,2368
l2update,11522,1713
match,16773,4507
l2update,11090,1809
match,15793,1957
l2update,10907,1677
match,15715,1908
l2update,10706,1766
match,17044,1973
l2update,10790,1673
match,16693,4286
l2update,10797,1669
match,15877,2011
l2update,10776,1679
match,15631,1987
l2update,10948,1710
match,16680,2025
l2update,10755,1652
match,16563,4258
l2update,10757,1834
match,16373,2021
l2update,10762,1682
match,15820,1981
l2update,10998,1697
match,15832,1946
l2update,11605,3935
match,16218,2058
l2update,11168,1692
match,15763,1975
l2update,10976,1693
match,15712,1991
l2update,10676,1715
match,17180,1970
l2update,11653,3846
match,16452,2020
l2update,11320,1700
match,16554,1948
l2update,10719,1650
match,16188,2040
l2update,11130,1722
match,16698,4364
l2update,11046,1760
match,15744,1977
l2update,10720,1646
match,16542,2133
l2update,10588,1664
match,16489,1948
l2update,10680,1609
match,16530,4386
l2update,10773,1729
match,17096,1997
l2update,10787,1735
match,16263,1968
l2update,10732,1664
match,16570,1997
l2update,10684,1686
match,16506,4251
l2update,11332,1782
match,16377,1914
l2update,10630,1649
match,15623,1980
l2update,11303,1725
match,15522,1959
l2update,11228,3980
match,15921,1987
l2update,11091,1709
match,15924,1961
l2update,10583,1674
match,16311,1956
l2update,10890,1701
match,16060,1964
l2update,11225,3933
match,16369,2008
l2update,11188,1706
match,15754,1953
l2update,11024,1711
match,15735,1975
l2update,11092,1715
match,24846,4262
l2update,17573,3224
match,23443,3248
l2update,15974,2760
match,23097,2781
l2update,15984,2756
match,22369,3240
l2update,16684,2319
match,23898,6584
l2update,16488,2981
match,23367,2687
l2update,16088,2871
match,22427,3336
l2update,16076,2105
match,22300,3157
l2update,16522,2839
match,24100,6687
l2update,16015,2658
match,23153,3339
l2update,16440,2163
match,22495,3051
l2update,16002,2884
match,23141,2658
l2update,15947,3013
match,22919,5851
l2update,16100,3287
match,23423,2685
l2update,15827,2772
match,22531,3319
l2update,16193,1965
match,22638,2821
l2update,16834,6497
match,23067,3366
l2update,16246,2283
match,22362,3378
l2update,16527,3236
match,23375,2952
l2update,15758,2863
match,23143,6539
l2update,14410,2460
match,15982,2258
l2update,15658,1976
match,23063,2551
l2update,16429,3010
match,23014,2907
l2update,16141,2484
match,23288,6761
l2update,15896,2998
match,22606,3422
l2update,21815,2333
match,21378,2376
l2update,16419,3053
match,23638,3070
l2update,15767,2691
match,23570,6919
l2update,16089,2946
match,22966,2929
l2update,15894,2655
match,23823,3319
l2update,16173,2446
match,22754,2899
l2update,16363,2836
match,24122,6755
l2update,16231,2268
match,22651,2909
l2update,16140,3159
match,23086,2590
l2update,15561,2665
match,22609,3322
l2update,16650,6311
match,22666,3277
l2update,16637,2066
match,23147,2976
l2update,16579,3031
match,23077,2901
l2update,15507,2703
match,23722,6755
l2update,16210,2915
match,23489,2918
l2update,15997,2698
match,22631,3178
l2update,16209,2791
match,22872,2545
l2update,15862,3053
